a1	a2	a1_BL_ID	a2_BL_ID	totalCollabs	collaborated	distance	duration	a1_LAT	a1_LON	a2_LAT	a2_LON
12593	317776	7776	7507	1	1	1016	758	36.0044651833	-78.9419603348	36.0030634608	-78.9369499683
12593	327206	7776	7508	4	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	330383	7776	7548	2	1	1009	743	36.0044651833	-78.9419603348	36.0074638311	-78.9365369081
12593	345629	7776	7508	1	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	346006	7776	7508	2	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	407909	7776	7749	1	1	508	386	36.0044651833	-78.9419603348	36.0032891268	-78.9425504208
12593	436126	7776	7508	3	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	439387	7776	7516	2	1	94	63	36.0044651833	-78.9419603348	36.0071644054	-78.9407479763
12593	442841	7776	7508	1	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	487349	7776	7549	1	1	94	63	36.0044651833	-78.9419603348	36.0066783787	-78.9403939247
12593	507759	7776	7507	1	1	1016	758	36.0044651833	-78.9419603348	36.0030634608	-78.9369499683
12593	513868	7776	7508	3	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	538555	7776	7508	1	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	563625	7776	7508	3	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
12593	568223	7776	8141	1	1	535	381	36.0044651833	-78.9419603348	36.009518555	-78.9416009188
13063	117007	7545	7508	1	1	709	525	36.0074855286	-78.9360541105	36.0033368637	-78.9359146357
13063	313214	7545	7508	1	1	709	525	36.0074855286	-78.9360541105	36.0033368637	-78.9359146357
13063	450299	7545	7540	1	1	1058	822	36.0074855286	-78.9360541105	36.0071861029	-78.9446398616
13208	51103	8141	7530	2	1	460	355	36.009518555	-78.9416009188	36.0062183863	-78.9401257038
13208	88352	8141	7530	3	1	460	355	36.009518555	-78.9416009188	36.0062183863	-78.9401257038
13208	98965	8141	7548	1	1	474	362	36.009518555	-78.9416009188	36.0074638311	-78.9365369081
13208	215530	8141	7508	3	1	1016	758	36.009518555	-78.9416009188	36.0033368637	-78.9359146357
13208	303544	8141	8084	3	1	5129	511	36.009518555	-78.9416009188	36.002196	-78.906105
13222	99878	7534	7507	1	1	768	578	36.0072186493	-78.9392995834	36.0030634608	-78.9369499683
13222	115290	7534	8141	3	1	249	181	36.0072186493	-78.9392995834	36.009518555	-78.9416009188
13608	99352	7776	7508	6	1	1016	819	36.0044651833	-78.9419603348	36.0033368637	-78.9359146357
